label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86
0.03	north16_all	80	5750	2367	1817	997	749	571	551	864	345	668	193	298	139	133	92	271	122	134	154	77	51	130	33	36	25	19	25	40	13	13	21	20	17	17	20	14	15	6	11	7	2	6	3	4	3	4	3	1	7	5	1	0	2	2	2	2	2	0	1	0	1	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	2552	883	906	300	230	246	263	553	145	433	52	154	43	56	44	199	68	86	87	32	30	97	19	14	2	11	15	31	1	6	12	13	4	7	15	12	12	2	7	5	0	3	1	2	2	3	0	1	7	5	1	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	5770	2407	1811	966	736	598	528	855	334	669	190	266	131	148	95	277	121	151	135	69	56	106	37	43	29	25	27	39	12	19	19	15	16	20	12	24	15	6	16	8	3	10	2	2	2	4	1	3	7	6	2	0	2	2	2	2	2	0	1	0	1	0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	2575	906	920	292	239	251	255	536	148	435	54	142	38	68	45	202	70	83	70	31	32	76	22	20	4	7	17	28	1	7	12	8	3	9	11	18	9	4	12	5	1	5	0	1	1	3	0	1	6	6	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	5739	2437	1855	975	722	596	544	854	340	659	194	278	134	140	99	292	128	154	135	62	65	105	37	45	29	26	26	36	17	18	31	16	14	16	12	23	16	10	18	9	5	8	2	3	3	7	2	3	5	3	3	0	1	1	0	1	2	0	1	1	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	2487	928	947	290	246	249	269	515	148	425	56	161	35	64	44	207	73	85	83	29	40	73	23	22	7	5	10	24	3	5	21	7	1	8	10	17	10	6	12	4	3	4	0	1	1	4	0	1	2	3	2	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	5749	2445	1851	974	709	591	548	877	334	660	200	278	148	136	112	292	120	161	169	60	58	129	40	51	29	31	29	31	17	16	37	9	8	28	15	18	15	17	14	12	6	8	1	3	3	5	2	3	4	2	2	0	1	2	0	0	1	0	2	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	2560	971	966	300	245	230	278	512	134	426	57	165	35	66	55	202	77	88	113	27	36	82	22	26	9	4	11	19	2	4	21	4	1	14	9	13	10	8	9	5	5	4	0	2	1	2	0	1	0	2	1	0	1	1	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	5638	2419	1842	983	742	599	533	894	346	649	190	316	153	136	116	283	126	160	182	64	54	165	32	48	26	26	30	33	17	14	39	9	12	27	18	14	12	13	14	12	5	5	2	3	3	6	1	4	6	1	2	0	2	3	6	3	1	0	1	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	2487	997	956	286	235	245	275	539	130	409	47	197	41	62	51	201	80	106	126	28	31	83	15	25	11	3	13	26	3	4	25	4	4	14	9	11	8	5	9	5	5	2	1	2	0	4	0	1	2	1	1	0	2	2	4	1	1	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
