label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46
0.03	north7_all	80	12610	2949	1866	1514	792	444	370	251	220	144	100	193	116	66	59	23	13	26	17	15	8	7	3	6	1	2	2	2	1	2	0	1	1	0	1	2	0	1	0	1	0	1	0	0	0	0	0
0.03	north7_active	80	7699	1358	941	845	413	229	186	123	128	77	56	131	81	39	41	14	7	15	12	9	3	6	0	2	0	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	13333	2975	1885	1521	840	454	381	285	257	158	98	187	129	72	45	19	17	33	14	18	7	8	3	6	1	5	4	3	2	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	8190	1345	938	877	448	240	186	145	159	85	51	129	87	42	26	12	9	17	9	12	2	6	1	3	0	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	13951	2966	1964	1505	862	434	371	292	250	149	93	199	164	77	47	21	18	32	13	14	7	12	5	7	2	7	3	2	3	0	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	8582	1367	998	875	459	219	197	154	152	83	44	137	120	47	21	14	11	15	9	9	3	9	1	4	1	3	3	1	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	14186	2871	1906	1528	866	457	385	303	277	171	89	191	170	74	62	17	17	39	12	21	8	12	6	3	2	5	5	1	2	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	8712	1315	978	905	446	219	203	158	164	101	35	131	112	44	23	11	8	20	5	14	6	7	2	3	2	2	4	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	14192	2812	1966	1568	854	503	374	292	282	174	86	171	156	67	78	32	18	20	18	15	5	6	6	5	3	1	7	1	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north11_active	80	8699	1304	1013	926	461	236	191	149	159	107	45	107	105	45	43	17	9	11	10	11	2	4	2	4	0	0	7	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_all	80	14194	2870	1919	1578	848	501	369	294	299	189	87	218	149	65	80	36	17	27	21	16	6	6	4	5	1	0	8	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
