label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	north6_all	80	6238	2805	1684	1162	778	1044	481	416	301	284	183	183	194	152	108	96	142	268	51	52	36	30	41	66	30	22	16	20	25	14	3	15	6	4	20	3	4	2	4	3	3	3	1	2	3	1	2	2	1	1	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2270	1082	517	338	204	805	123	213	72	119	48	90	137	73	31	59	110	251	18	28	14	5	17	57	14	12	8	8	20	5	0	9	3	2	18	2	0	0	3	2	2	2	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	6269	2775	1699	1189	812	1054	471	399	314	270	182	194	218	146	107	93	148	235	60	48	31	35	39	64	26	29	17	24	18	12	7	13	5	7	11	6	8	2	5	2	2	3	0	2	4	1	1	2	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2246	1032	519	334	202	802	121	194	80	101	46	95	159	65	28	52	119	217	23	25	14	7	21	54	11	16	8	8	14	4	4	9	3	2	10	3	2	0	4	1	2	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	6306	2751	1716	1181	799	1065	465	403	311	268	199	187	227	146	106	92	141	235	64	53	30	37	38	60	22	31	17	20	13	15	10	12	4	9	4	6	6	7	3	4	5	3	0	2	4	4	0	3	1	1	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2272	1028	538	330	204	821	111	181	79	100	48	88	163	69	28	51	108	216	25	28	10	8	21	47	12	17	9	9	9	2	6	8	3	2	3	4	3	5	2	2	5	1	0	0	1	4	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	6256	2745	1745	1184	815	1113	458	408	311	258	206	182	243	145	98	85	139	239	59	55	37	33	32	64	22	32	12	24	18	13	14	4	8	9	13	9	7	7	3	6	5	1	0	1	3	4	0	1	2	1	0	5	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north9_active	80	2262	1041	578	335	209	860	110	191	77	92	48	87	183	77	20	50	110	222	23	31	11	7	16	52	12	17	8	16	15	2	8	1	3	3	9	7	3	5	3	2	5	0	0	0	1	4	0	0	1	1	0	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north10_all	80	6282	2847	1757	1145	802	1186	487	422	301	253	203	185	277	148	96	104	132	270	54	50	39	38	28	55	23	25	13	26	27	13	17	3	12	8	15	8	6	7	5	6	9	1	1	0	2	3	1	1	2	1	0	5	0	2	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
0.03	north10_active	80	2331	1099	587	346	231	923	116	209	72	99	39	87	219	79	25	73	98	250	21	29	8	8	12	43	12	12	9	21	24	2	7	2	7	2	11	6	2	6	3	2	8	0	0	0	0	3	0	0	1	1	0	5	0	2	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
