label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62
0.03	south35_active	80	29943	20566	4801	12028	2903	634	767	870	2284	274	748	135	433	241	59	401	390	44	122	63	80	55	11	22	4	22	13	34	10	9	13	9	3	1	24	5	0	1	0	0	0	1	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	45262	25133	9489	12860	4655	2842	2106	1680	2687	874	989	549	602	434	292	504	411	134	171	102	99	92	37	47	31	28	21	28	17	13	17	12	10	10	27	6	3	2	0	5	2	4	1	3	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	south36_active	80	27875	18943	4404	11108	2629	662	706	849	2305	263	697	119	408	250	67	412	357	40	110	48	57	55	13	25	7	17	16	26	8	8	12	10	4	3	26	5	1	1	0	2	1	4	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	44627	24459	9333	12476	4627	2807	2103	1666	2538	897	1002	541	638	437	306	508	422	138	161	93	85	87	43	50	38	32	31	26	13	18	19	13	13	11	25	3	3	4	0	6	3	4	1	1	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	south37_active	80	26970	18122	4248	10688	2521	641	710	826	2123	281	700	126	414	271	71	416	348	35	101	48	47	51	13	25	9	18	23	23	6	9	15	11	4	5	24	2	2	2	0	3	3	4	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south38_all	80	45230	25177	9486	12816	4657	2766	2093	1643	2590	895	1021	547	638	454	315	467	489	148	180	112	102	89	44	59	41	28	33	28	10	26	28	13	11	11	12	3	4	3	0	4	5	6	1	1	0	0	1	1	2	2	2	0	0	1	0	0	0	0	0	1	0	0	0
0.03	south38_active	80	27817	18925	4400	10946	2576	648	737	832	2175	282	694	133	410	291	67	381	419	46	123	75	59	51	14	26	11	13	24	24	3	14	23	12	1	5	12	2	2	1	0	3	4	6	1	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_all	80	46912	26512	9797	13726	4812	2682	2108	1676	2575	939	1062	584	643	448	314	460	539	154	170	122	109	97	48	55	38	31	26	28	12	29	28	16	10	8	12	2	5	3	1	4	5	5	1	0	0	0	1	1	0	0	2	0	0	2	0	1	0	0	0	1	0	0	0
0.03	south39_active	80	29941	20487	4662	11962	2777	657	797	854	2177	310	753	145	433	280	60	385	474	48	124	77	79	54	16	22	8	17	18	22	3	13	24	14	2	6	10	0	4	2	0	3	4	5	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	47820	27435	9774	14601	4956	2670	2081	1792	2745	906	1086	610	698	445	296	433	447	160	183	127	117	89	47	52	39	42	29	35	15	26	23	16	9	6	14	3	4	2	2	2	3	2	3	0	0	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0
0.03	south40_active	80	31295	21761	4847	12824	3024	638	832	963	2352	296	778	147	484	271	54	357	395	61	137	78	87	55	13	21	7	23	20	30	5	10	19	14	3	5	12	1	2	1	0	0	2	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
