label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73
0.03	north18_active	80	17497	2093	694	881	283	272	177	227	127	88	288	62	55	38	50	22	186	51	17	18	27	56	7	16	13	4	32	3	3	3	10	11	5	4	2	3	0	2	5	1	1	0	1	2	0	5	0	5	6	0	0	0	2	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	20462	3997	2176	1675	1014	774	629	518	395	300	401	205	199	132	123	93	206	92	43	44	38	93	23	26	40	14	38	12	9	7	10	17	10	7	4	5	5	7	2	4	0	2	3	2	1	6	0	11	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	17546	2043	687	853	307	283	178	234	122	85	283	65	54	43	52	17	175	49	14	14	16	79	9	12	21	6	34	3	2	3	4	11	7	3	2	4	1	2	1	1	0	0	1	1	0	5	0	10	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	20346	4029	2216	1655	1058	753	642	523	369	307	386	216	201	140	127	86	222	79	39	49	46	84	27	23	36	22	47	16	9	4	11	14	9	4	4	4	6	7	9	3	1	3	2	1	3	5	1	9	0	0	0	1	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	17457	2031	715	828	344	280	195	245	114	85	271	72	55	43	51	12	166	49	15	16	20	71	9	10	22	13	41	4	2	0	3	8	5	2	2	3	2	2	9	1	1	1	1	1	1	5	0	9	0	0	0	0	0	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	19929	4155	2275	1637	1075	781	584	482	394	331	399	231	158	137	103	92	222	84	52	51	46	86	35	25	33	15	46	21	13	10	16	21	12	5	10	3	0	0	9	3	3	2	1	5	4	2	2	4	3	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
0.03	south21_active	80	17000	2058	729	828	292	274	169	219	114	105	278	63	48	41	37	18	192	59	14	13	19	68	6	12	19	5	41	6	4	3	9	15	9	3	3	3	0	0	7	2	1	0	1	3	1	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	19979	4158	2253	1575	1062	788	580	489	376	326	385	227	163	137	111	99	231	93	58	43	52	100	35	24	37	11	45	17	10	10	15	17	8	8	8	5	2	2	4	1	4	1	4	4	4	0	2	3	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
0.03	south22_active	80	17040	2055	730	772	307	281	172	216	104	104	266	56	53	49	40	18	204	65	16	14	18	83	6	13	20	6	37	5	1	5	8	14	5	4	2	5	1	1	2	1	2	0	3	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	20066	4067	2173	1570	1044	762	560	471	383	322	396	227	167	134	123	99	247	96	55	46	44	91	30	20	34	14	45	14	14	8	17	15	10	7	8	7	2	2	5	0	5	3	5	5	3	1	1	1	4	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	17138	2013	687	726	318	279	179	192	106	104	263	58	52	53	45	17	217	64	17	18	14	77	5	11	22	6	37	5	2	3	11	12	7	4	4	6	1	1	2	0	2	1	3	3	0	1	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	20012	4039	2157	1550	1044	759	552	471	382	304	418	196	179	127	116	89	229	98	56	44	38	91	28	15	37	21	52	15	15	11	17	8	9	8	7	7	3	2	9	0	3	4	4	4	0	1	2	0	5	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south24_active	80	17101	2008	682	729	303	283	188	198	99	99	281	59	56	50	37	19	203	68	21	21	12	72	4	7	23	10	45	5	3	4	14	6	7	5	3	5	1	1	4	0	1	1	2	3	0	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	20049	3978	2145	1621	1045	735	569	441	378	293	411	191	176	139	111	81	216	103	57	48	40	90	29	19	30	24	41	13	18	16	10	10	5	8	8	10	4	1	15	1	2	3	3	2	1	1	2	0	5	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south25_active	80	17124	1984	700	788	303	278	187	192	114	84	284	54	55	42	38	14	183	64	23	24	13	69	4	6	19	11	37	4	4	5	10	8	2	4	3	8	2	0	11	0	1	1	0	1	1	1	0	0	5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	19929	3987	2105	1725	1045	748	590	430	381	289	398	195	191	138	110	86	165	97	62	51	43	75	28	20	26	28	49	13	21	18	10	15	5	8	6	7	5	0	14	1	4	2	1	4	2	1	1	0	3	1	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south26_active	80	17013	1972	662	871	302	271	187	194	125	78	291	63	60	45	38	14	133	60	24	19	15	56	4	6	16	15	44	4	9	5	8	14	3	5	1	6	2	0	11	0	4	1	0	3	2	0	0	0	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	20081	3991	2112	1722	1062	736	610	465	357	278	352	192	190	145	105	100	172	97	60	49	41	81	32	25	20	25	43	18	18	20	6	16	8	7	4	8	4	5	12	2	4	4	1	4	2	2	2	0	3	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	17141	2017	670	881	313	247	179	206	117	65	256	60	54	50	41	16	138	58	24	19	15	63	5	8	13	14	38	5	8	7	2	15	6	2	0	6	2	1	10	0	4	1	0	3	2	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	20143	4067	2133	1741	1024	798	603	488	358	284	366	211	187	151	119	103	175	82	54	48	42	79	29	22	20	24	39	21	19	18	10	20	8	8	6	10	3	6	4	2	3	3	0	4	1	3	1	2	4	0	2	2	0	0	3	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	south28_active	80	17203	2064	662	884	316	270	168	218	111	60	268	73	52	54	49	17	142	53	22	12	20	69	8	6	9	12	30	7	8	6	4	19	7	3	1	8	1	2	2	0	3	1	0	3	1	0	0	1	4	0	1	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
