label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59
0.03	north6_all	80	11045	4279	4541	1180	2011	629	469	344	299	321	180	456	109	96	73	132	64	40	77	27	37	28	14	11	27	13	11	10	6	7	11	2	10	2	1	1	1	3	2	1	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north6_active	80	7687	2702	3812	308	1720	340	154	168	115	239	40	417	35	29	17	117	40	11	65	16	19	16	3	5	21	4	8	6	3	3	11	0	9	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north7_all	80	10359	4022	4070	1157	1895	664	466	364	303	323	177	392	113	97	73	104	67	41	49	22	34	16	16	12	30	13	8	9	4	4	12	2	7	2	1	2	2	2	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north7_active	80	7002	2423	3344	305	1597	339	152	159	109	231	36	350	34	28	19	85	38	9	31	11	15	12	1	5	22	3	7	6	0	2	12	0	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_all	80	10289	4000	3828	1187	1748	707	477	362	281	312	180	383	120	92	77	115	63	44	37	22	40	19	20	13	32	8	6	10	6	1	7	1	4	2	4	1	1	1	1	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_active	80	6874	2408	3090	302	1445	342	164	154	91	212	36	348	33	23	22	95	39	6	20	11	15	11	4	5	26	2	4	5	1	0	7	0	3	1	3	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_all	80	11004	4145	4070	1222	1993	728	487	384	268	309	180	458	118	100	66	146	63	39	52	15	35	17	26	14	36	6	9	9	8	3	7	3	4	2	6	3	1	1	1	0	0	1	2	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_active	80	7683	2620	3364	299	1674	363	166	156	88	207	34	420	30	23	23	126	44	7	35	8	17	10	8	6	29	2	4	6	2	2	7	0	4	2	4	2	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_all	80	11651	4455	4316	1220	2125	769	510	376	249	314	180	569	109	101	79	167	67	39	59	22	28	19	24	16	34	4	11	7	8	7	5	3	7	4	8	3	2	0	1	1	1	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_active	80	8400	2925	3672	292	1814	393	184	150	85	224	31	534	27	25	27	144	46	9	48	17	10	13	10	8	28	1	5	4	2	6	5	0	6	1	6	1	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_all	80	11908	4537	4597	1189	2300	753	426	375	257	382	167	592	102	94	64	191	70	36	103	35	33	24	21	18	14	8	8	9	6	1	7	3	19	3	3	1	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	8802	3085	3961	266	2020	441	152	161	86	285	37	552	38	21	30	165	48	8	94	27	13	15	2	9	12	3	4	5	1	0	5	0	19	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	11782	4522	4561	1168	2407	784	424	365	260	415	164	560	115	81	66	198	77	36	73	31	31	23	16	19	17	7	8	9	3	4	4	3	6	3	2	1	1	2	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_active	80	8745	3038	3952	258	2147	473	151	158	93	315	37	523	38	17	29	176	55	9	63	21	10	13	1	10	16	5	4	4	1	2	3	1	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	11610	4537	4585	1159	2459	772	455	348	268	405	155	506	110	92	74	213	69	39	66	36	30	17	14	21	26	7	8	11	7	6	4	3	5	6	1	2	0	2	2	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north13_active	80	8572	2977	4010	252	2192	467	173	159	87	306	41	468	41	17	28	193	48	6	55	22	11	7	2	13	23	6	3	5	3	2	3	1	5	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north14_all	80	11382	4536	4624	1133	2443	709	455	354	279	408	159	549	119	93	83	225	75	39	77	47	36	16	17	19	28	7	8	9	5	8	18	3	7	7	1	2	1	0	2	0	2	0	1	0	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	0
0.03	north14_active	80	8395	2975	4032	241	2159	415	179	154	96	308	46	518	43	17	29	208	54	12	66	30	17	3	4	14	25	4	4	5	2	4	16	1	7	3	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0
0.03	north15_all	80	10946	4392	4437	1135	2260	683	439	372	287	374	162	548	127	95	83	223	74	43	74	54	34	18	14	23	23	9	6	9	6	9	23	2	4	8	1	2	1	1	1	1	2	1	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0
0.03	north15_active	80	7810	2778	3775	264	1970	374	156	145	85	266	41	509	45	20	34	204	53	12	59	34	16	7	3	18	21	3	2	7	2	4	20	1	4	4	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0
0.03	north16_all	80	10415	4205	3982	1137	1952	672	446	386	272	349	162	464	119	87	77	181	80	46	72	47	34	24	16	16	20	9	6	7	6	8	22	4	7	8	1	4	2	1	0	2	4	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0
0.03	north16_active	80	7154	2553	3268	289	1644	347	136	143	83	223	36	424	36	22	36	163	56	14	59	26	17	15	3	11	18	3	1	6	1	4	19	1	7	3	0	2	1	0	0	1	4	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	9874	3964	3442	1148	1674	666	432	374	259	320	166	381	118	91	58	143	69	42	58	33	26	32	14	15	9	6	6	5	5	8	17	5	5	6	1	3	3	1	1	3	4	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north17_active	80	6453	2292	2696	316	1360	342	119	120	78	206	34	330	29	25	27	122	45	11	41	15	15	24	2	9	6	1	2	5	0	5	15	1	4	4	0	2	1	0	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	9461	3779	3172	1182	1568	681	448	360	255	326	172	327	122	87	62	120	64	36	58	31	16	30	24	25	12	5	5	3	7	7	9	4	7	5	1	3	2	0	2	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
