label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60
0.03	north7_active	80	16077	20969	3809	5568	4048	3002	770	752	715	862	371	279	531	161	107	88	92	82	53	42	22	20	38	46	4	18	5	8	3	8	4	8	5	1	1	7	1	5	2	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	32188	32529	7797	8922	6444	4812	1643	1470	1250	1288	654	544	836	305	221	185	170	155	94	93	51	39	71	82	19	29	17	15	11	25	6	10	6	4	5	7	3	7	3	1	1	1	1	4	1	2	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	16056	21164	3773	5533	3988	2988	742	723	682	798	365	289	570	160	108	81	87	87	47	53	23	16	37	50	12	13	9	9	3	9	1	8	5	2	1	6	2	5	2	0	1	0	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	32077	32067	7786	8861	6454	4939	1645	1469	1271	1370	666	524	854	304	236	175	166	141	92	92	56	41	61	78	29	22	17	15	8	26	6	8	10	3	4	8	4	7	0	1	0	1	0	4	0	1	2	0	1	0	1	0	0	7	1	0	0	0	0	0	0
0.03	north9_active	80	15864	20914	3789	5514	3964	3108	744	738	699	862	366	291	568	148	117	64	84	71	44	53	26	16	37	53	18	11	12	8	3	10	1	5	8	1	1	6	1	6	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	7	0	0	0	0	0	0	0
0.03	north10_all	80	31886	31876	7626	8868	6294	4980	1656	1490	1248	1371	658	520	929	291	211	183	158	182	83	90	52	51	50	68	34	20	18	19	6	36	6	7	16	5	6	4	4	2	0	1	0	1	2	4	0	0	1	0	0	0	1	0	0	7	2	0	0	0	0	0	0
0.03	north10_active	80	15836	20597	3732	5438	3840	3064	739	728	687	857	357	293	599	134	112	66	84	100	43	56	24	15	30	47	22	11	13	11	3	17	2	4	14	2	2	2	1	1	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0
0.03	north11_all	80	29961	27903	7153	7998	5815	4365	1607	1411	1188	1242	610	483	641	257	203	187	150	132	87	83	51	48	79	48	42	21	15	17	12	12	12	7	5	4	5	2	2	7	2	1	4	0	1	1	0	3	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	14041	17373	3294	4720	3575	2625	717	708	663	784	326	262	413	116	85	89	72	70	43	44	32	20	49	28	32	11	6	11	4	10	7	3	1	2	2	1	0	5	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	30254	28816	7230	8295	5890	4401	1595	1447	1283	1290	647	481	658	283	189	196	131	131	96	72	58	52	94	57	36	27	15	16	12	9	9	7	6	4	4	3	3	7	1	1	4	1	1	0	0	1	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	14365	18207	3351	5018	3630	2675	724	726	749	803	340	256	406	131	80	89	69	68	48	40	36	23	57	31	29	16	7	11	4	7	6	3	1	2	2	1	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	31028	29929	7374	8658	6090	4569	1625	1437	1334	1370	630	500	791	284	185	197	151	141	93	77	65	46	103	70	34	26	11	16	15	6	6	8	8	3	1	2	2	5	0	0	2	1	2	2	0	1	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	14961	18893	3492	5229	3758	2776	737	745	801	885	343	265	503	137	73	87	80	77	49	43	41	21	62	32	25	17	4	10	5	6	4	3	3	1	0	1	0	4	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	31731	31184	7504	8839	6252	4845	1629	1460	1364	1491	653	494	825	287	203	179	176	146	99	90	67	40	111	68	40	29	12	11	13	15	3	6	10	2	1	3	2	0	3	0	0	1	1	3	1	1	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	15534	19849	3609	5348	3862	2975	732	753	818	971	361	249	522	131	77	88	99	77	49	54	41	20	68	29	28	18	5	6	5	10	2	2	5	0	0	2	1	0	2	0	0	0	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	32264	31695	7565	9174	6394	5108	1620	1443	1361	1471	684	536	835	272	217	172	190	135	100	99	66	35	91	75	33	37	10	11	12	13	6	4	11	1	0	2	3	0	4	0	0	0	1	4	1	5	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	15864	20270	3710	5585	3982	3259	735	735	799	909	384	291	521	131	85	91	107	76	50	60	37	14	55	34	21	21	6	6	7	8	2	1	7	0	0	1	3	0	3	0	0	0	1	3	1	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	32077	31462	7494	9253	6321	5082	1586	1441	1273	1539	694	539	830	289	234	165	164	127	97	103	61	43	77	61	32	34	11	17	14	16	4	4	10	3	3	2	4	1	4	0	0	0	1	4	1	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	15696	20124	3615	5715	3936	3203	716	737	757	963	371	299	518	139	104	88	88	69	44	60	31	23	51	33	22	22	6	9	10	11	1	0	5	1	1	1	4	0	3	0	0	0	1	3	1	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	31953	31742	7543	9312	6368	5032	1572	1441	1244	1496	673	553	808	276	241	176	158	126	93	93	73	54	63	76	36	30	12	18	10	16	7	14	6	5	5	1	4	3	3	1	2	0	0	1	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	15634	20283	3648	5809	3990	3247	715	734	692	921	353	302	521	132	113	90	80	73	48	52	36	30	46	41	22	17	5	10	7	13	2	8	3	2	2	0	3	1	2	1	2	0	0	0	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	31576	31394	7504	8994	6154	4740	1578	1441	1256	1475	642	557	811	255	218	185	165	130	88	83	68	51	58	59	24	20	12	20	10	32	7	17	7	6	6	2	3	3	0	1	8	2	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	15323	19966	3575	5570	3895	2932	718	760	695	905	312	301	539	115	114	95	81	73	47	49	32	32	46	32	12	9	3	9	5	15	2	10	4	3	2	0	2	1	0	1	5	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	31259	30414	7568	8544	6035	4658	1563	1414	1248	1360	608	539	734	234	206	184	163	128	92	86	71	44	59	67	32	18	17	13	9	38	7	16	5	6	3	2	2	2	0	1	8	2	0	0	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	15103	19307	3594	5224	3755	2937	730	746	678	832	301	292	470	118	103	92	85	66	42	50	34	24	42	33	15	7	6	5	4	15	3	10	2	3	1	1	1	1	0	1	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	31010	29109	7377	8201	6006	4542	1531	1399	1230	1230	611	531	712	242	188	164	165	122	82	80	74	39	62	78	34	21	21	12	7	32	7	13	5	4	4	2	1	3	0	0	6	3	0	2	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	14853	18355	3466	4965	3702	2845	706	721	662	754	299	284	461	114	86	82	81	61	33	51	38	17	36	49	16	10	9	5	3	7	3	11	2	3	2	1	1	2	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
