label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north6_all	80	58310	33937	12370	5641	6430	2707	1966	1987	808	568	662	342	258	367	172	97	78	82	94	27	69	30	29	16	4	12	14	9	4	2	6	2	1	5	3	2	0	1	0	0	2	0	0	3	1	1	1	0	1
0.03	north6_active	80	44662	29438	9338	3219	5376	1591	1280	1609	389	174	511	236	108	306	73	41	22	57	72	6	55	23	20	7	2	10	7	9	2	1	2	0	0	5	0	2	0	1	0	0	0	0	0	3	0	1	1	0	1
0.03	north7_all	80	58516	33360	12440	5654	6383	2699	1894	1971	882	534	692	366	250	352	150	92	82	83	74	29	57	38	22	16	6	7	12	8	2	2	4	1	0	1	3	0	0	1	0	0	1	0	0	3	1	0	1	0	0
0.03	north7_active	80	44836	28877	9399	3231	5336	1613	1247	1595	425	165	538	234	90	295	60	34	24	59	53	10	38	33	16	8	3	6	6	8	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0
0.03	north8_all	80	58779	33039	12615	5583	6166	2666	1909	2007	868	520	660	405	228	358	144	93	80	86	67	26	50	45	16	15	5	4	9	25	2	4	4	2	0	1	1	1	0	0	0	0	1	0	0	3	0	0	0	0	0
0.03	north8_active	80	45137	28461	9525	3164	5140	1616	1288	1634	415	156	508	248	80	306	58	36	24	68	52	11	34	36	12	8	2	1	2	24	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
0.03	north9_all	80	58670	33156	12401	5655	6195	2561	1950	2064	874	513	649	436	233	312	125	97	55	74	49	32	53	51	17	13	5	3	7	24	4	4	3	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	45001	28608	9338	3153	5189	1567	1293	1698	422	157	504	264	85	266	57	46	15	59	33	13	34	40	12	9	2	0	1	23	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	58095	33229	12343	5585	6168	2565	1947	2110	877	551	629	436	237	360	115	99	67	74	50	32	46	46	13	10	9	5	10	24	6	4	2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	44444	28684	9228	3103	5183	1550	1233	1741	406	172	493	286	89	305	53	51	21	59	31	13	31	33	10	7	3	0	5	23	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	59119	34156	12460	5804	6111	2554	1896	2080	870	556	615	407	272	366	146	94	74	75	59	41	40	38	29	16	17	9	7	11	0	6	1	4	2	3	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	45255	29582	9343	3308	5084	1519	1280	1653	416	156	472	275	122	312	50	50	24	49	36	19	25	24	22	9	5	7	5	7	0	2	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
