label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79
0.03	south31_all	80	9863	8499	2557	2861	2080	1064	764	619	739	368	550	360	225	161	209	147	104	92	187	98	74	59	108	38	35	44	27	45	25	8	24	28	10	9	21	7	10	17	7	4	4	6	12	12	11	0	4	2	1	3	5	0	1	3	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south31_active	80	3596	6798	606	2051	1579	490	280	159	538	100	422	235	59	65	139	70	24	27	151	70	49	28	90	19	20	27	14	37	13	3	9	23	5	3	21	7	8	14	7	2	2	6	11	10	7	0	2	1	0	3	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	9855	9019	2493	2963	2308	1104	770	604	768	382	568	347	246	208	225	142	97	89	218	101	72	70	111	33	35	59	33	38	24	13	24	24	10	11	25	10	11	37	13	5	3	6	7	9	11	1	5	3	1	3	5	0	1	3	1	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	3725	7374	633	2194	1843	529	303	143	585	114	431	227	67	87	161	71	22	25	189	76	49	37	94	18	18	39	21	32	12	5	9	20	4	5	23	10	10	34	11	2	2	6	6	7	8	1	3	1	0	3	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	9863	9288	2561	3083	2438	1112	757	606	788	374	641	389	242	218	243	140	96	87	227	114	86	65	121	29	36	56	28	51	26	12	23	32	14	11	24	8	14	37	17	4	4	6	6	9	3	1	2	3	2	0	3	0	1	1	0	1	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	3748	7663	668	2327	1949	571	315	148	601	118	514	269	74	87	172	77	19	28	206	84	59	35	105	14	22	37	21	45	18	5	8	26	7	5	21	7	13	33	15	2	3	6	5	8	2	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	9948	9360	2579	3004	2477	1098	766	606	802	374	641	405	255	196	254	148	98	100	195	104	92	67	122	29	37	48	44	50	25	14	17	28	15	12	23	8	12	37	15	3	2	3	6	7	3	1	2	3	2	1	3	1	1	1	2	1	1	2	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	3738	7668	683	2281	1948	559	336	143	606	117	502	286	78	80	183	83	20	33	175	81	59	34	104	13	23	28	36	46	13	3	8	21	5	6	19	6	12	35	12	1	1	3	5	7	3	1	1	1	0	1	2	1	0	1	2	0	1	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	9952	9399	2622	3053	2470	1100	766	590	783	370	632	417	242	178	233	150	105	95	176	101	91	55	145	31	45	45	50	60	35	13	13	24	12	8	44	7	16	31	9	3	4	4	7	7	10	0	0	3	3	3	1	1	0	1	2	1	1	3	2	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south35_active	80	3723	7639	695	2334	1907	567	328	155	592	121	507	303	70	69	163	75	24	30	156	77	61	26	130	11	31	25	37	54	21	2	7	18	4	4	39	4	16	29	8	1	3	3	5	7	10	0	0	1	1	3	1	1	0	1	2	0	1	2	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
