label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85
0.03	south33_all	80	55975	11939	11452	7739	3712	3503	2543	2617	1827	1911	755	1233	618	533	365	323	526	557	206	175	150	138	148	181	65	94	79	52	28	21	21	25	46	29	23	9	23	17	11	22	22	11	6	1	2	7	1	3	12	6	3	4	0	2	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	34538	5625	6719	4643	1891	1984	1358	1586	1080	1164	334	775	295	298	169	165	338	347	107	73	85	82	74	125	30	39	45	26	11	11	13	11	32	11	15	3	9	11	5	13	13	1	3	0	1	3	1	2	8	2	2	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	55730	11947	11705	7860	3658	3558	2503	2567	1824	1878	760	1203	589	514	357	326	487	511	203	162	141	162	125	186	69	79	82	45	29	19	25	27	54	39	22	8	29	16	9	22	18	11	5	0	2	4	3	3	10	4	6	3	0	2	5	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	south34_active	80	34506	5624	6825	4739	1886	2026	1360	1499	1043	1127	326	737	277	272	161	169	305	329	96	69	76	108	63	134	36	35	42	18	14	10	14	12	33	8	14	2	15	8	2	15	12	3	2	0	2	1	3	2	7	1	2	3	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	55602	12005	11817	7782	3630	3594	2510	2606	1868	1877	730	1191	563	495	348	328	463	558	194	163	151	160	125	220	78	81	78	46	36	22	30	28	54	34	20	11	31	19	10	15	10	7	10	3	3	3	2	3	5	2	7	3	1	1	5	0	1	1	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	south35_active	80	34653	5634	6955	4689	1873	2052	1364	1536	1024	1116	320	719	273	252	155	168	289	376	90	74	93	108	62	175	38	44	45	16	24	10	13	13	35	9	12	4	15	8	2	9	4	2	3	2	2	2	2	2	3	0	3	3	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	55890	11929	11781	7767	3634	3613	2469	2556	1944	1816	730	1252	559	498	312	357	426	516	205	162	148	161	109	230	86	99	75	55	44	31	34	31	43	28	20	18	29	15	6	17	7	6	11	3	7	4	3	2	2	0	8	2	2	1	4	0	1	0	2	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	south36_active	80	35012	5607	6887	4611	1860	2057	1337	1536	1088	1050	306	761	276	247	130	184	244	355	95	75	93	108	61	170	39	62	42	20	26	15	15	14	20	5	9	7	14	6	1	9	4	2	5	2	1	3	3	1	0	0	4	1	1	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	56381	11801	11889	7748	3627	3635	2496	2601	1996	1843	749	1330	554	501	320	340	462	468	188	183	156	152	110	263	83	104	75	54	44	31	30	31	46	14	20	17	37	11	7	11	9	4	9	6	10	5	2	1	0	0	4	2	3	0	1	1	1	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	south37_active	80	35465	5524	6997	4577	1808	2077	1358	1578	1156	1103	328	800	283	265	127	167	264	320	89	89	95	98	67	208	37	65	44	22	25	18	14	14	19	8	10	7	24	6	2	4	4	3	5	5	3	4	1	1	0	0	3	1	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
