label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66
0.03	north7_active	80	23863	32000	3251	5257	1940	745	4018	571	2199	633	172	1314	311	528	62	55	134	46	258	222	84	88	11	121	16	10	11	23	31	8	5	24	11	1	3	4	3	5	11	0	1	1	5	6	7	1	4	0	4	2	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	38431	33575	8235	7256	4034	2572	4379	1529	2292	1056	752	1403	546	637	272	229	215	173	265	212	140	115	77	107	42	38	33	42	41	25	16	41	16	12	8	13	4	7	11	2	4	2	1	5	8	4	0	0	4	2	0	1	0	1	0	2	0	0	0	0	1	1	1	0	0	0	0
0.03	north8_active	80	21690	29222	2985	4774	1842	690	3696	509	1906	543	171	1190	287	448	59	49	114	42	200	171	76	84	12	86	13	5	10	17	33	7	6	27	7	1	4	1	1	5	8	0	2	1	1	4	7	1	0	0	4	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0
0.03	north9_all	80	37238	31363	8172	6872	3918	2613	4001	1461	2155	993	746	1230	524	578	309	243	220	178	269	182	134	107	69	86	45	35	41	38	35	21	21	49	13	8	7	8	4	8	3	0	2	2	0	6	8	3	0	0	0	2	4	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1
0.03	north9_active	80	20011	26829	2795	4381	1683	665	3245	456	1741	470	152	1036	262	404	71	51	111	42	202	145	71	70	11	66	14	7	8	15	28	5	10	33	6	1	3	0	1	5	1	0	2	1	0	5	7	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north10_all	80	37039	31078	8130	6916	3890	2600	4017	1453	2076	997	749	1291	510	537	309	255	228	176	287	182	132	101	62	77	41	35	41	35	31	24	18	46	13	7	5	5	4	2	4	3	2	1	1	6	2	4	6	1	3	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
0.03	north10_active	80	19752	26528	2733	4487	1681	669	3288	442	1644	487	165	1092	251	353	73	58	109	38	232	146	75	64	12	61	10	5	8	15	28	6	9	26	4	1	3	1	2	0	3	0	2	0	0	4	1	0	6	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0.03	north11_all	80	42528	38948	8470	8290	4163	2611	5201	1546	2733	1178	706	1784	634	749	299	232	230	177	295	358	129	161	59	146	45	48	33	30	44	18	16	26	13	8	5	5	5	7	7	2	0	3	9	21	3	1	6	0	5	0	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	26918	35001	3591	6134	2189	901	4593	595	2344	726	191	1608	392	625	68	41	128	53	250	314	78	120	13	125	17	10	8	14	31	7	6	24	4	1	2	3	1	4	5	1	0	2	6	21	1	1	4	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	42397	39441	8461	8221	4187	2679	5307	1584	2922	1182	717	1797	615	681	291	237	240	186	352	353	141	142	57	132	45	49	48	37	39	15	24	29	16	13	3	4	5	7	7	2	1	4	8	20	2	0	5	0	1	0	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	26764	35518	3549	6089	2198	919	4686	614	2551	743	199	1624	374	553	70	36	138	58	304	314	97	107	12	101	14	8	20	21	30	5	6	27	4	3	1	3	1	4	4	1	1	3	6	19	1	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	42284	39674	8536	8145	4234	2673	5488	1610	2920	1176	735	1786	646	790	311	245	253	186	334	312	146	147	67	104	39	46	47	33	30	23	23	39	24	13	3	5	6	7	9	1	2	2	9	20	2	0	3	0	1	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
