label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69
0.03	south32_all	80	56831	14886	9323	9963	5756	4311	4273	2371	1072	2098	1447	1055	453	675	709	509	276	303	259	237	210	116	89	87	103	70	75	36	24	17	28	20	14	19	13	12	8	9	7	4	6	6	3	4	2	1	4	4	1	0	0	1	1	1	0	0	2	1	0	0	0	0	0	0	1	1	3	0	0	0
0.03	south32_active	80	35270	7837	4984	6219	3455	2442	2608	1375	478	1322	862	666	201	414	467	307	167	168	167	152	138	66	26	36	67	43	42	17	11	7	17	13	10	12	8	3	4	7	4	4	2	2	2	3	1	0	4	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0
0.03	south33_all	80	55520	14827	9151	9913	5805	4259	4072	2412	1099	2155	1405	1063	444	674	623	489	271	305	260	231	213	119	93	81	97	62	89	35	32	20	23	19	17	16	16	11	8	10	10	7	5	7	3	5	4	2	4	3	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south33_active	80	34220	7730	4940	6157	3433	2477	2463	1403	501	1416	851	682	195	405	382	316	174	153	164	146	134	65	32	38	68	35	50	15	13	9	18	12	14	10	9	3	4	6	5	4	1	3	3	4	4	0	4	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
0.03	south34_all	80	53842	14691	8778	9639	5665	4169	3806	2390	1099	2008	1356	1021	458	673	580	492	267	301	261	223	195	111	93	73	78	62	101	32	29	25	28	20	16	13	12	7	8	11	13	8	2	7	1	4	3	4	2	2	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south34_active	80	32862	7524	4624	5989	3387	2469	2322	1395	486	1294	868	650	204	424	352	316	162	157	169	134	127	60	37	38	49	35	65	14	12	11	17	13	11	10	5	3	6	7	6	4	0	3	1	4	3	2	2	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	51764	14313	8518	9195	5384	4164	3752	2279	1138	1899	1326	963	452	624	575	490	278	269	264	217	205	111	88	67	66	53	87	23	39	25	37	19	15	6	15	3	9	12	17	9	3	4	2	4	5	4	3	2	1	1	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	south35_active	80	31577	7266	4336	5693	3141	2431	2304	1311	502	1144	852	574	214	390	334	306	164	143	167	125	125	57	41	36	33	29	60	10	20	11	23	13	9	4	8	1	5	7	10	3	0	2	2	4	5	2	2	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south36_all	80	50602	14040	8498	8913	5238	3950	3563	2220	1118	1830	1322	932	432	619	597	476	295	246	253	202	211	118	80	73	73	47	97	27	33	25	37	21	19	5	14	7	8	9	15	6	4	4	3	2	3	3	1	2	0	2	1	0	1	2	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	south36_active	80	30618	7014	4218	5446	3106	2274	2161	1282	482	1097	833	528	203	403	351	296	163	129	152	114	122	53	43	41	34	27	70	13	18	14	20	16	13	2	8	4	5	5	9	1	0	2	1	0	2	2	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south37_all	80	50143	14024	8499	8816	5269	3905	3657	2148	1115	1712	1285	980	456	619	632	496	302	259	222	183	210	125	72	80	92	53	96	29	30	25	36	24	20	6	13	7	10	7	9	7	5	2	4	7	5	1	1	3	0	2	1	0	1	2	0	2	1	0	0	0	0	0	1	0	1	1	0	0	0	0
0.03	south37_active	80	30134	6954	4241	5277	3064	2262	2258	1202	474	980	795	565	216	404	384	313	175	137	123	97	127	56	34	48	46	34	69	14	17	11	18	15	13	3	5	4	5	5	5	2	1	0	1	5	2	1	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south38_all	80	50086	13910	8489	9096	5229	3936	3579	2128	1137	1709	1222	951	462	652	621	514	298	275	213	185	216	121	63	78	90	43	98	34	26	24	33	30	20	8	13	8	9	4	8	7	6	3	9	10	5	1	1	3	0	2	1	0	1	2	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south38_active	80	30027	6839	4311	5460	2996	2288	2168	1177	513	1015	719	542	215	411	368	328	163	162	114	106	126	57	27	45	50	24	70	19	13	9	20	18	14	3	3	4	3	3	5	3	1	1	6	8	1	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south39_all	80	50041	13832	8345	9110	5239	4026	3677	2042	1090	1742	1210	944	443	674	604	499	304	284	215	186	209	122	64	69	82	50	99	31	22	20	36	28	16	10	17	9	11	2	4	4	3	7	8	11	6	2	1	3	1	1	1	1	1	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	south39_active	80	30044	6716	4253	5521	3030	2345	2273	1148	510	1072	715	532	195	413	351	318	158	163	110	117	127	58	25	39	43	29	59	16	11	8	24	15	10	4	7	6	4	1	1	3	1	4	6	10	1	1	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south40_all	80	51933	13980	8438	9345	5365	4075	3827	2145	1068	1913	1207	901	459	727	642	505	318	264	232	240	213	106	68	68	73	44	86	30	22	17	31	30	20	10	18	14	10	4	4	2	3	6	10	10	4	2	1	3	3	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1
0.03	south40_active	80	31422	6847	4295	5597	3118	2403	2352	1242	503	1203	723	477	215	444	384	321	166	154	120	155	141	57	30	32	48	24	49	16	11	6	22	16	12	3	6	9	3	3	2	1	0	4	7	9	1	1	0	2	3	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
