label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	south21_active	80	17018	9498	4019	6659	4042	1938	1922	569	893	513	294	446	447	190	107	127	156	50	28	31	14	5	9	14	10	7	8	0	5	2	3	2	6	0	3	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	35982	17961	8283	10518	6407	3364	2999	1223	1408	878	583	693	699	327	170	232	213	92	58	39	28	21	24	25	15	8	9	3	6	7	6	4	8	2	3	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south22_active	80	16798	9538	3956	6603	3980	1950	1854	589	899	508	332	445	450	206	88	132	147	49	30	28	15	9	12	15	6	4	7	0	4	4	4	1	8	0	3	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	36052	17813	8248	10383	6192	3430	2931	1235	1483	859	555	653	655	318	175	260	186	91	58	38	27	21	23	14	14	7	20	3	6	10	5	2	7	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south23_active	80	16897	9503	3979	6420	3824	2043	1769	559	935	491	325	416	435	196	92	167	108	51	27	25	15	8	10	9	7	4	6	0	3	6	3	1	7	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	35924	17874	8240	10542	6140	3381	2861	1200	1531	814	533	664	574	306	182	233	179	86	59	35	27	19	24	9	11	15	29	2	5	11	7	3	5	2	3	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	16854	9454	3954	6573	3806	1973	1698	559	990	460	303	428	370	191	95	145	105	49	26	21	14	10	10	7	5	6	15	0	2	9	5	2	5	1	3	1	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	36005	17691	8075	10242	5992	3366	2749	1161	1544	782	542	632	550	306	177	214	188	94	58	48	23	20	23	14	10	18	36	3	3	7	4	2	0	2	2	3	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south25_active	80	16841	9320	3873	6294	3717	2031	1627	535	977	436	292	404	365	192	96	137	107	45	23	25	8	10	7	8	6	11	22	0	2	6	4	2	0	1	2	2	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south26_all	80	35748	17154	7977	9722	5885	3201	2673	1065	1332	759	542	613	482	278	168	188	173	89	47	50	20	19	24	12	11	17	22	4	0	3	3	3	1	2	1	3	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	south26_active	80	16608	8848	3784	5896	3619	1881	1571	491	832	411	280	398	308	170	85	118	112	44	19	27	8	9	8	6	5	7	20	1	0	3	3	2	0	1	1	2	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0
