label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	north13_active	80	9217	955	719	2151	1699	553	129	406	77	83	58	82	112	31	24	21	143	97	15	16	9	6	8	6	26	5	5	2	2	6	5	5	1	2	0	3	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north14_all	80	13742	3751	2227	2967	2342	934	504	641	331	253	201	173	201	117	84	72	177	125	36	35	27	35	17	18	40	8	9	9	7	14	8	6	4	4	0	2	2	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north14_active	80	10144	954	802	2444	1978	623	145	442	81	77	61	88	128	28	24	19	155	109	19	21	7	10	6	13	35	5	4	5	1	11	2	4	2	3	0	2	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north15_all	80	14538	3689	2166	3282	2566	1010	496	694	320	264	202	163	211	118	87	66	178	125	43	43	33	27	17	27	54	5	15	11	7	21	6	4	3	4	0	1	3	1	2	0	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north15_active	80	11001	903	821	2777	2188	700	153	501	104	96	62	85	151	32	26	22	158	105	24	24	8	8	4	20	51	4	8	7	3	18	1	2	2	3	0	0	3	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_all	80	15088	3641	2172	3502	2663	1027	516	686	298	252	197	162	201	110	93	72	194	146	46	50	27	24	18	26	54	6	16	13	8	23	4	8	8	4	0	2	2	6	2	1	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north16_active	80	11610	889	865	3002	2306	729	153	499	95	92	56	80	142	25	25	33	176	121	24	30	5	8	3	20	46	4	10	8	4	21	0	5	6	3	0	1	2	5	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_all	80	14738	3560	2212	3297	2528	1002	520	677	306	241	189	157	192	120	86	79	161	134	53	54	24	27	12	27	55	6	15	12	11	25	3	7	7	4	1	2	2	6	3	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north17_active	80	11148	854	851	2785	2195	686	148	500	95	99	49	76	138	29	22	30	143	113	31	28	8	8	3	18	48	3	11	6	6	22	1	5	5	3	0	1	2	5	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north18_all	80	14113	3546	2202	2953	2407	921	530	592	310	241	187	170	171	109	75	82	136	144	60	47	25	20	12	26	47	7	10	11	10	22	7	9	8	4	1	2	0	6	1	1	2	0	0	0	2	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	10428	862	795	2408	2056	598	139	409	82	91	48	84	123	24	15	26	114	125	34	25	9	4	3	15	41	3	8	3	4	20	3	7	5	3	0	1	0	6	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	13265	3621	2180	2672	2169	893	528	547	329	262	209	173	158	122	75	79	134	128	57	47	29	22	13	22	34	12	14	9	10	15	8	8	6	4	1	2	1	1	2	0	1	0	0	0	2	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	9464	918	739	2098	1816	547	125	363	82	87	55	88	101	25	15	19	114	107	30	25	8	3	6	12	28	4	11	2	4	13	4	6	3	4	0	2	0	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	12535	3665	2154	2476	1968	858	536	531	336	268	203	175	154	106	84	67	108	100	56	36	29	16	21	21	29	15	11	7	9	2	6	6	7	4	1	3	1	1	2	0	1	0	0	0	1	0	1	1	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	8718	956	697	1873	1606	503	128	341	78	78	48	80	96	16	16	18	84	79	32	17	6	2	10	9	25	7	7	1	2	2	3	4	4	4	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
