label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90
0.03	north16_all	80	18286	3443	2472	1740	1138	832	586	487	801	606	294	355	268	175	178	164	247	98	161	131	79	92	47	47	52	49	96	46	25	68	32	26	33	9	18	11	23	13	3	13	9	6	6	7	8	9	2	2	11	1	1	3	0	1	2	8	3	3	0	4	0	1	1	2	2	0	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	11852	1610	1292	944	564	400	261	233	486	378	136	200	148	78	89	78	158	48	97	72	51	65	18	31	24	31	67	26	13	41	18	16	15	4	12	6	12	9	1	12	5	4	4	3	5	4	1	2	9	0	0	0	0	0	0	7	2	1	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	18528	3351	2444	1755	1132	797	599	509	775	588	302	350	272	166	174	145	255	106	168	117	76	88	56	40	48	45	94	40	30	62	30	29	36	11	17	10	24	13	6	16	10	6	4	14	6	12	3	2	11	2	1	3	1	2	1	9	2	3	1	4	0	2	1	2	2	0	1	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	11933	1580	1305	933	555	402	267	253	469	360	140	198	147	76	89	73	154	60	96	57	50	52	23	26	24	25	65	20	15	38	16	16	17	5	13	5	10	8	3	15	6	2	3	8	3	2	1	2	9	0	0	0	0	0	0	8	1	1	1	4	0	0	1	1	1	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	18805	3386	2414	1724	1138	776	606	494	765	594	293	353	265	165	174	143	252	107	176	109	83	85	55	38	54	55	102	42	30	57	28	25	28	17	10	9	19	12	7	12	12	7	3	13	6	8	3	3	6	2	1	1	2	3	1	7	1	2	1	3	0	3	1	1	2	1	0	2	0	0	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	12235	1590	1285	913	553	378	268	248	472	381	131	213	150	71	89	66	152	59	105	51	54	48	21	25	28	27	66	26	15	33	17	13	12	10	5	3	6	7	3	11	6	2	2	9	3	1	1	2	5	0	0	0	1	0	0	5	1	1	1	3	0	0	1	1	1	0	0	2	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	19008	3439	2396	1757	1116	787	640	527	778	668	286	372	260	178	162	127	237	111	172	111	94	87	54	38	48	50	70	53	25	45	22	21	25	24	14	9	15	11	10	12	16	7	2	14	9	6	4	3	5	2	3	3	4	4	0	5	0	1	2	0	0	2	0	2	1	1	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_active	80	12491	1652	1218	925	530	380	282	273	473	414	128	226	140	89	84	60	141	66	96	59	56	46	23	21	19	22	40	32	12	25	14	12	14	15	8	4	3	5	5	9	7	2	1	10	3	0	3	2	5	0	1	2	1	1	0	3	0	0	2	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	19067	3385	2412	1783	1110	823	629	519	791	709	275	374	246	189	162	118	262	110	183	108	89	85	57	38	41	53	62	55	21	36	21	21	19	21	11	12	12	10	9	13	15	6	1	14	8	2	4	2	8	2	4	5	5	5	0	5	0	1	1	2	0	2	0	2	0	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_active	80	12598	1625	1234	968	531	403	286	254	486	446	129	223	138	99	88	51	160	57	106	58	46	46	29	18	18	25	34	35	8	21	12	13	11	12	6	6	6	6	5	10	7	2	1	11	3	0	3	1	8	0	1	4	1	1	0	3	0	0	1	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
