label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north16_all	80	5650	5594	1005	1179	467	389	342	492	169	134	255	99	55	47	41	32	32	15	19	34	21	20	14	7	6	8	6	5	3	3	2	2	8	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north16_active	80	3159	3634	448	698	199	172	193	313	90	59	164	53	32	24	24	17	18	9	9	19	15	8	8	1	3	5	3	2	1	1	0	2	6	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	5693	5694	988	1087	488	386	346	447	162	140	246	87	46	49	51	29	29	21	20	45	28	26	14	7	6	8	7	3	3	3	1	2	5	1	2	0	2	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north17_active	80	3150	3718	450	639	216	179	195	270	86	65	170	41	25	22	35	12	15	15	9	18	16	13	5	3	3	5	3	1	0	1	0	2	3	0	2	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	5720	5657	1026	1130	491	369	348	438	153	147	222	102	50	56	61	38	31	22	20	37	19	24	16	5	4	9	4	1	2	3	2	5	5	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	3156	3666	455	650	227	176	189	255	80	67	160	50	25	16	42	21	14	18	10	20	8	9	5	3	1	6	2	1	0	2	0	2	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	5776	5711	1024	1118	484	358	363	491	172	141	203	102	55	57	59	30	28	26	16	38	19	27	15	7	3	4	6	2	3	4	2	8	2	1	2	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north19_active	80	3135	3765	449	648	225	166	202	308	90	64	139	53	29	19	38	14	12	17	8	22	8	16	6	3	0	3	1	1	0	3	0	2	2	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north20_all	80	5829	5813	1038	1196	483	362	354	514	176	127	213	118	55	59	53	30	30	26	18	39	17	21	12	9	4	6	6	2	2	4	2	7	2	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	north20_active	80	3122	3810	457	716	226	174	204	326	94	58	129	63	28	25	36	14	13	15	8	28	10	16	6	4	1	5	1	1	0	4	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0
0.03	south21_all	80	7246	2105	1824	1093	689	386	256	263	343	206	110	173	141	42	51	87	17	23	22	52	15	30	14	3	4	9	3	3	3	1	4	0	3	2	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0
0.03	south21_active	80	4213	1030	1046	658	398	192	104	144	233	133	62	114	97	21	25	63	7	11	9	26	8	18	9	1	2	9	3	0	1	0	1	0	3	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	7209	2137	1790	1091	700	380	251	266	351	211	121	159	148	42	58	71	25	24	22	73	13	22	14	4	2	5	3	1	2	1	1	1	3	2	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3
0.03	south22_active	80	4215	1039	1038	638	396	202	101	126	231	134	69	97	96	22	35	47	10	13	10	33	9	18	8	2	1	5	1	0	0	0	0	1	3	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
