label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71
0.03	north11_active	80	23957	8230	6102	3140	1510	1105	912	865	899	544	814	240	240	394	120	176	133	64	84	66	70	38	63	68	54	19	34	26	17	10	13	9	5	7	24	3	0	3	6	1	1	2	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	44235	16125	11204	6210	3337	2455	1937	1709	1619	1108	1356	515	491	694	293	305	244	141	169	161	145	93	121	113	91	46	57	51	50	23	20	11	12	36	20	4	2	4	4	2	1	2	1	2	4	1	2	2	0	2	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	25105	8588	6482	3356	1592	1128	924	959	903	624	845	242	240	434	116	175	150	57	97	80	102	51	71	77	55	21	36	33	24	11	12	9	6	25	18	1	0	3	4	0	0	2	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	45847	16567	11557	6461	3342	2432	2012	1776	1648	1156	1426	551	466	736	309	356	277	130	171	155	142	88	124	127	99	46	49	63	40	20	31	10	16	34	23	3	5	3	1	3	2	2	6	2	4	1	2	3	0	2	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	26404	8885	6657	3505	1605	1154	1003	996	935	650	863	245	232	447	133	224	153	52	104	86	99	49	74	76	60	17	34	47	20	8	23	8	7	26	19	2	0	3	1	1	1	2	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	45800	16657	11593	6592	3413	2404	2029	1825	1606	1131	1403	559	472	754	299	354	273	147	180	157	146	113	117	119	120	36	47	63	41	20	30	12	17	30	23	4	5	4	3	4	1	0	10	4	4	0	2	2	0	2	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	26405	8934	6773	3557	1625	1137	1017	1002	912	636	864	260	239	479	137	210	138	64	103	97	92	61	81	65	80	14	30	48	20	15	22	5	7	22	19	2	1	4	2	1	1	0	0	2	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	45782	16545	11533	6517	3452	2421	2057	1802	1653	1052	1329	539	486	771	290	364	273	148	174	149	137	126	107	96	143	35	48	82	41	22	29	9	13	25	20	4	4	5	3	6	1	1	14	3	5	0	1	1	0	2	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	26533	8929	6705	3564	1603	1143	1022	946	972	581	801	244	251	486	138	208	133	67	97	92	75	74	65	50	87	13	32	51	18	15	21	2	5	22	14	3	1	5	2	3	1	1	2	1	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	45788	16506	11439	6394	3445	2468	2047	1798	1623	1045	1301	563	497	735	289	328	277	151	180	164	144	125	120	95	129	38	53	96	25	23	21	13	11	15	14	3	5	4	3	7	3	1	12	3	1	0	3	0	0	2	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	26631	8905	6544	3489	1653	1148	1019	915	939	571	810	253	263	465	138	179	162	75	97	95	84	76	66	60	78	14	31	67	8	13	13	2	6	12	9	1	2	4	2	3	3	1	2	2	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	45596	16482	11518	6420	3433	2448	2031	1742	1602	1089	1263	554	515	707	297	336	300	138	173	174	142	132	104	114	115	32	57	106	23	19	26	13	10	17	16	5	5	3	3	5	5	1	9	2	1	2	4	0	0	9	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	26416	8841	6677	3496	1620	1129	999	896	942	572	783	251	267	433	144	182	181	68	92	98	87	78	58	79	73	12	37	76	9	8	11	3	6	13	12	1	1	3	3	3	3	1	2	2	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
